"SeqNum.row","SeqNum.col","dist.manh","SampNum.row","SampNum.col"
16,4,704550.749117587,"hc2_17","ss3_16"
16,17,670869.215841266,"ss3_20","ss3_16"
16,11,630935.212009767,"ss2_14","ss3_16"
16,8,718089.335496727,"hc3_10","ss3_16"
16,14,601151.136919392,"ss3_14","ss3_16"
16,3,732617.852369012,"hc2_15","ss3_16"
16,16,0,"ss3_16","ss3_16"
16,9,757687.439268726,"hc3_11","ss3_16"
16,18,686701.427377568,"ss5_18","ss3_16"
16,7,730731.606968644,"hc3_7","ss3_16"
16,5,838662.301682902,"hc3_1","ss3_16"
16,10,661445.396218624,"ss2_9","ss3_16"
16,1,729091.997261694,"hc1_2","ss3_16"
16,2,765132.294595403,"hc1_4","ss3_16"
16,12,823170.580646683,"ss2_18","ss3_16"
16,13,615025.703220334,"ss3_3","ss3_16"
16,6,804143.452275473,"hc3_5","ss3_16"
16,15,638715.222745044,"ss3_15","ss3_16"
17,3,743467.715190653,"hc2_15","ss3_20"
17,16,670869.215841266,"ss3_16","ss3_20"
17,1,738666.566820111,"hc1_2","ss3_20"
17,8,711032.037451929,"hc3_10","ss3_20"
17,13,673160.158906961,"ss3_3","ss3_20"
17,4,706413.241696209,"hc2_17","ss3_20"
17,7,749562.681607481,"hc3_7","ss3_20"
17,12,846952.377029681,"ss2_18","ss3_20"
17,17,0,"ss3_20","ss3_20"
17,5,842258.006222592,"hc3_1","ss3_20"
17,14,667687.491408669,"ss3_14","ss3_20"
17,18,721301.553523832,"ss5_18","ss3_20"
17,10,708344.479311742,"ss2_9","ss3_20"
17,2,764925.367451823,"hc1_4","ss3_20"
17,6,796950.625631541,"hc3_5","ss3_20"
17,9,772318.06364871,"hc3_11","ss3_20"
17,15,658456.016129948,"ss3_15","ss3_20"
17,11,677386.399146579,"ss2_14","ss3_20"
18,2,784523.863039171,"hc1_4","ss5_18"
18,1,769260.183807031,"hc1_2","ss5_18"
18,6,823257.63611132,"hc3_5","ss5_18"
18,9,779123.559456321,"hc3_11","ss5_18"
18,13,643695.363610394,"ss3_3","ss5_18"
18,7,771312.820090296,"hc3_7","ss5_18"
18,4,747556.991714188,"hc2_17","ss5_18"
18,12,786523.337249176,"ss2_18","ss5_18"
18,3,768125.807179144,"hc2_15","ss5_18"
18,5,841495.754178886,"hc3_1","ss5_18"
18,18,0,"ss5_18","ss5_18"
18,15,709839.010712571,"ss3_15","ss5_18"
18,16,686701.427377568,"ss3_16","ss5_18"
18,17,721301.553523832,"ss3_20","ss5_18"
18,11,714164.220315953,"ss2_14","ss5_18"
18,10,719305.825456114,"ss2_9","ss5_18"
18,8,761274.683610246,"hc3_10","ss5_18"
18,14,657788.281542104,"ss3_14","ss5_18"
